run_idx,task_id,method,model,elapsed_sec,syntax_valid,pair_pass,pair_violation,error_types,violations,details,prompt_path,generation_path
1,simplug-T001,B0_direct,qwen2.5:7b,5.81,True,False,True,missing API call,missing sp.plugins_context,"{""plugins_context_args"": [], ""disable_args"": [], ""get_plugin_assigns"": {}, ""get_plugin_bad_arg_vars"": [], ""wrapper_disable_vars"": [], ""hook_receivers"": [""sp""]}",/Users/zt25/coding/从 API 知识注入到源码图推理合成：PairCoder/Ollama问题存在性实验/result/simplug_7b_5model_comparison/prompts/qwen2.5_7b__simplug-T001__B0_direct.txt,/Users/zt25/coding/从 API 知识注入到源码图推理合成：PairCoder/Ollama问题存在性实验/result/simplug_7b_5model_comparison/generations/qwen2.5_7b__simplug-T001__B0_direct_run1.py
1,simplug-T001,B1_api_list,qwen2.5:7b,2.29,True,False,True,missing API call,missing sp.plugins_context,"{""plugins_context_args"": [], ""disable_args"": [], ""get_plugin_assigns"": {}, ""get_plugin_bad_arg_vars"": [], ""wrapper_disable_vars"": [], ""hook_receivers"": [""sp""]}",/Users/zt25/coding/从 API 知识注入到源码图推理合成：PairCoder/Ollama问题存在性实验/result/simplug_7b_5model_comparison/prompts/qwen2.5_7b__simplug-T001__B1_api_list.txt,/Users/zt25/coding/从 API 知识注入到源码图推理合成：PairCoder/Ollama问题存在性实验/result/simplug_7b_5model_comparison/generations/qwen2.5_7b__simplug-T001__B1_api_list_run1.py
1,simplug-T001,B2_raw_api_docs,qwen2.5:7b,2.59,True,False,True,wrong parameter semantics,plugins_context receives plugin object variable instead of name string; plugins_context should receive plugin name strings ['beta'],"{""plugins_context_args"": [""[beta]""], ""disable_args"": [], ""get_plugin_assigns"": {}, ""get_plugin_bad_arg_vars"": [], ""wrapper_disable_vars"": [], ""hook_receivers"": [""sp""]}",/Users/zt25/coding/从 API 知识注入到源码图推理合成：PairCoder/Ollama问题存在性实验/result/simplug_7b_5model_comparison/prompts/qwen2.5_7b__simplug-T001__B2_raw_api_docs.txt,/Users/zt25/coding/从 API 知识注入到源码图推理合成：PairCoder/Ollama问题存在性实验/result/simplug_7b_5model_comparison/generations/qwen2.5_7b__simplug-T001__B2_raw_api_docs_run1.py
1,simplug-T001,B3_oracle_api_sequence,qwen2.5:7b,1.93,True,False,True,missing API call,missing sp.plugins_context,"{""plugins_context_args"": [], ""disable_args"": [], ""get_plugin_assigns"": {}, ""get_plugin_bad_arg_vars"": [], ""wrapper_disable_vars"": [], ""hook_receivers"": [""sp""]}",/Users/zt25/coding/从 API 知识注入到源码图推理合成：PairCoder/Ollama问题存在性实验/result/simplug_7b_5model_comparison/prompts/qwen2.5_7b__simplug-T001__B3_oracle_api_sequence.txt,/Users/zt25/coding/从 API 知识注入到源码图推理合成：PairCoder/Ollama问题存在性实验/result/simplug_7b_5model_comparison/generations/qwen2.5_7b__simplug-T001__B3_oracle_api_sequence_run1.py
1,simplug-T001,B4_gold_pair_rule,qwen2.5:7b,2.73,True,True,False,,,"{""plugins_context_args"": [""['beta']""], ""disable_args"": [], ""get_plugin_assigns"": {}, ""get_plugin_bad_arg_vars"": [], ""wrapper_disable_vars"": [], ""hook_receivers"": [""sp""]}",/Users/zt25/coding/从 API 知识注入到源码图推理合成：PairCoder/Ollama问题存在性实验/result/simplug_7b_5model_comparison/prompts/qwen2.5_7b__simplug-T001__B4_gold_pair_rule.txt,/Users/zt25/coding/从 API 知识注入到源码图推理合成：PairCoder/Ollama问题存在性实验/result/simplug_7b_5model_comparison/generations/qwen2.5_7b__simplug-T001__B4_gold_pair_rule_run1.py
1,simplug-T002,B0_direct,qwen2.5:7b,2.10,True,False,True,missing API call,missing sp.plugins_context,"{""plugins_context_args"": [], ""disable_args"": [], ""get_plugin_assigns"": {}, ""get_plugin_bad_arg_vars"": [], ""wrapper_disable_vars"": [], ""hook_receivers"": [""sp""]}",/Users/zt25/coding/从 API 知识注入到源码图推理合成：PairCoder/Ollama问题存在性实验/result/simplug_7b_5model_comparison/prompts/qwen2.5_7b__simplug-T002__B0_direct.txt,/Users/zt25/coding/从 API 知识注入到源码图推理合成：PairCoder/Ollama问题存在性实验/result/simplug_7b_5model_comparison/generations/qwen2.5_7b__simplug-T002__B0_direct_run1.py
1,simplug-T002,B1_api_list,qwen2.5:7b,2.26,True,False,True,wrong parameter semantics,"plugins_context receives plugin object variable instead of name string; plugins_context should receive plugin name strings ['alpha', 'gamma']","{""plugins_context_args"": [""[alpha, gamma]""], ""disable_args"": [], ""get_plugin_assigns"": {}, ""get_plugin_bad_arg_vars"": [], ""wrapper_disable_vars"": [], ""hook_receivers"": [""sp""]}",/Users/zt25/coding/从 API 知识注入到源码图推理合成：PairCoder/Ollama问题存在性实验/result/simplug_7b_5model_comparison/prompts/qwen2.5_7b__simplug-T002__B1_api_list.txt,/Users/zt25/coding/从 API 知识注入到源码图推理合成：PairCoder/Ollama问题存在性实验/result/simplug_7b_5model_comparison/generations/qwen2.5_7b__simplug-T002__B1_api_list_run1.py
1,simplug-T002,B2_raw_api_docs,qwen2.5:7b,2.42,True,False,True,missing API call; wrong parameter semantics,"missing sp.hooks.score call; plugins_context receives plugin object variable instead of name string; plugins_context should receive plugin name strings ['alpha', 'gamma']","{""plugins_context_args"": [""[alpha, gamma]""], ""disable_args"": [], ""get_plugin_assigns"": {}, ""get_plugin_bad_arg_vars"": [], ""wrapper_disable_vars"": [], ""hook_receivers"": []}",/Users/zt25/coding/从 API 知识注入到源码图推理合成：PairCoder/Ollama问题存在性实验/result/simplug_7b_5model_comparison/prompts/qwen2.5_7b__simplug-T002__B2_raw_api_docs.txt,/Users/zt25/coding/从 API 知识注入到源码图推理合成：PairCoder/Ollama问题存在性实验/result/simplug_7b_5model_comparison/generations/qwen2.5_7b__simplug-T002__B2_raw_api_docs_run1.py
1,simplug-T002,B3_oracle_api_sequence,qwen2.5:7b,2.10,True,False,True,missing API call,missing sp.plugins_context,"{""plugins_context_args"": [], ""disable_args"": [], ""get_plugin_assigns"": {}, ""get_plugin_bad_arg_vars"": [], ""wrapper_disable_vars"": [], ""hook_receivers"": [""sp""]}",/Users/zt25/coding/从 API 知识注入到源码图推理合成：PairCoder/Ollama问题存在性实验/result/simplug_7b_5model_comparison/prompts/qwen2.5_7b__simplug-T002__B3_oracle_api_sequence.txt,/Users/zt25/coding/从 API 知识注入到源码图推理合成：PairCoder/Ollama问题存在性实验/result/simplug_7b_5model_comparison/generations/qwen2.5_7b__simplug-T002__B3_oracle_api_sequence_run1.py
1,simplug-T002,B4_gold_pair_rule,qwen2.5:7b,2.88,True,True,False,,,"{""plugins_context_args"": [""['alpha', 'gamma']""], ""disable_args"": [], ""get_plugin_assigns"": {}, ""get_plugin_bad_arg_vars"": [], ""wrapper_disable_vars"": [], ""hook_receivers"": [""sp""]}",/Users/zt25/coding/从 API 知识注入到源码图推理合成：PairCoder/Ollama问题存在性实验/result/simplug_7b_5model_comparison/prompts/qwen2.5_7b__simplug-T002__B4_gold_pair_rule.txt,/Users/zt25/coding/从 API 知识注入到源码图推理合成：PairCoder/Ollama问题存在性实验/result/simplug_7b_5model_comparison/generations/qwen2.5_7b__simplug-T002__B4_gold_pair_rule_run1.py
